bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
42,Baseline,none,glm,2024-02-25T04:00:01Z,2024-02-25T04:00:16Z,NA,0,NA,0.5
42,Baseline,none,earth,2024-02-25T04:00:16Z,2024-02-25T04:01:28Z,NA,0,NA,0.5
42,Baseline,none,pda,2024-02-25T04:01:28Z,2024-02-25T04:02:27Z,NA,0,NA,0.5
42,Baseline,none,multinom,2024-02-25T04:02:27Z,2024-02-25T04:02:52Z,NA,0,NA,0.5
42,Baseline,none,treebag,2024-02-25T04:02:52Z,2024-02-25T04:03:12Z,0.04,0.02,0.02666666666666667,0.5074926870037609
42,Baseline,none,gbm,2024-02-25T04:03:12Z,2024-02-25T04:03:44Z,NA,0,NA,0.5
42,Baseline,none,ranger,2024-02-25T04:03:44Z,2024-02-25T04:05:46Z,NA,0,NA,0.5
42,Baseline,none,nnet,2024-02-25T04:05:46Z,2024-02-25T04:06:15Z,NA,0,NA,0.5
42,Baseline,weighted,glm,2024-02-25T04:06:15Z,2024-02-25T04:06:31Z,0.02771362586605081,0.72,0.05337286879169756,0.728052653572921
42,Baseline,weighted,earth,2024-02-25T04:06:31Z,2024-02-25T04:26:10Z,0.025245441795231416,0.72,0.048780487804878044,0.7147847889678228
42,Baseline,weighted,pda,2024-02-25T04:26:10Z,2024-02-25T04:27:13Z,NA,0,NA,0.5
42,Baseline,weighted,multinom,2024-02-25T04:27:13Z,2024-02-25T04:27:38Z,0.027649769585253458,0.72,0.05325443786982249,0.7277392394483911
42,Baseline,weighted,treebag,2024-02-25T04:27:38Z,2024-02-25T04:27:57Z,0.04,0.02,0.02666666666666667,0.5074926870037609
42,Baseline,weighted,gbm,2024-02-25T04:27:58Z,2024-02-25T04:28:20Z,0.02718589272593681,0.74,0.05244507441530829,0.7316798997074802
42,Baseline,weighted,ranger,2024-02-25T04:28:20Z,2024-02-25T04:30:38Z,0.03070175438596491,0.7,0.058823529411764705,0.7345591307981613
42,Baseline,weighted,nnet,2024-02-25T04:30:38Z,2024-02-25T04:31:11Z,0.025,0.72,0.04832214765100671,0.7133221897200167
42,Baseline,up,glm,2024-02-25T04:31:11Z,2024-02-25T04:31:32Z,0.02702702702702703,0.7,0.05204460966542752,0.7183660676974508
42,Baseline,up,earth,2024-02-25T04:31:32Z,2024-02-25T04:33:55Z,0.028181818181818183,0.62,0.05391304347826086,0.6983201002925199
42,Baseline,up,pda,2024-02-25T04:33:55Z,2024-02-25T04:34:59Z,0.02810304449648712,0.72,0.054094665664913597,0.7299331383201002
