rowname,DBT1,DBT99,WHITE,BLACK,ASIAN,MIXED,OTHER_RACE,SDESCENT,OVER65,LIVESALONE,LARGEHOUSE,POVERTY,UNEMPLOYED,HIGHSCHOOL,RENT,ELPAY,NGPAY,LPGPAY,FOPAY,APARTMENT,MOBILE,YEARMADERANGE,THERMALMASS.WALL,THERMALMASS.ROOF,ADQINSUL,DRAFTY,WWR,TYPEGLASS,COOLTYPE,EQUIPM,HVAC_OPERATION,HVAC_MAINTENANCE,NUMFANS,OFFGRID,TEMPMA
DBT1,1,0.48,-0.066,0.11,-0.039,0.0098,0.0052,0.12,-0.01,-0.012,0.005,0.056,0.014,0.025,1.8e-05,0.049,0.015,-0.076,-0.23,-0.065,0.055,0.18,0.087,-0.005,0.018,-0.042,-0.081,-0.091,0.38,0.0041,0.044,0.054,0.2,-0.089,0.02
DBT99,,1,-0.17,0.11,0.11,0.05,0.019,0.17,-0.0098,-0.026,0.0015,0.0018,0.013,-0.016,0.056,0.019,-0.082,-0.11,-0.18,0.028,0.037,0.13,0.15,-0.046,-0.044,-0.08,-0.063,-0.16,0.11,-0.23,0.062,0.05,0.1,-0.034,0.028
WHITE,,,1,-0.69,-0.48,-0.35,-0.26,0.04,0.076,0.0091,-0.038,-0.067,0.033,-0.011,-0.18,0.054,0.022,0.086,0.062,-0.15,0.02,-0.018,-0.079,0.052,0.06,-0.1,0.087,0.12,0.086,0.079,-0.12,-0.077,0.076,0.058,-0.062
BLACK,,,,1,-0.067,-0.049,-0.037,-0.057,-0.049,0.037,0.0094,0.11,0.0024,0.053,0.17,-0.047,-0.036,-0.069,-0.049,0.13,-0.0091,-0.0022,0.056,-0.036,-0.042,0.11,-0.085,-0.11,-0.027,0.012,0.13,0.078,-0.05,-0.058,0.05
ASIAN,,,,,1,-0.034,-0.026,-0.053,-0.033,-0.052,0.022,-0.057,-0.056,-0.066,0.025,-0.016,0.032,-0.05,-0.036,0.065,-0.037,0.034,0.04,-0.039,-0.0075,0.0054,-0.019,-0.024,-0.056,-0.086,-0.006,-0.0074,-0.056,-0.02,0.0055
MIXED,,,,,,1,-0.019,0.027,-0.038,-0.0079,0.021,0.014,-0.014,-0.012,0.047,-0.009,-0.016,-0.026,-0.008,0.034,0.00082,8.2e-05,0.025,-0.0053,-0.036,0.031,-0.012,-0.031,-0.036,-0.053,0.032,0.042,0.00063,0.00012,0.032
OTHER_RACE,,,,,,,1,0.066,-0.019,-0.015,0.032,0.029,0.0047,0.037,0.045,-0.019,-0.019,0.015,-0.0047,0.025,0.023,0.005,0.017,-0.0062,-0.031,0.022,-0.024,-0.025,-0.066,-0.063,0.039,0.017,-0.025,-0.0092,0.026
SDESCENT,,,,,,,,1,-0.11,-0.074,0.043,0.075,-0.048,0.12,0.12,-0.028,0.022,-0.056,-0.054,0.091,0.014,0.0027,0.059,-0.035,-0.044,0.041,-0.08,-0.099,-0.042,-0.098,0.11,0.057,-0.073,-0.064,0.065
OVER65,,,,,,,,,1,0.13,-0.024,0.15,0.52,0.088,-0.2,0.0026,-0.0025,0.057,0.035,-0.11,0.0062,-0.057,-0.068,-0.019,0.08,-0.14,0.011,0.044,0.034,0.044,-0.11,-0.06,-0.0046,0.08,-0.023
LIVESALONE,,,,,,,,,,1,-0.071,0.24,0.14,0.053,0.14,-0.12,-0.07,-0.032,-0.023,0.22,0.022,-0.08,0.057,-0.067,-0.044,-0.039,-0.1,-0.096,-0.077,0.016,0.0018,-0.03,-0.19,-0.091,-0.0086
LARGEHOUSE,,,,,,,,,,,1,3e-04,-0.0094,0.03,0.009,0.0016,0.0013,-0.0033,-3.6e-05,-0.028,0.007,0.012,-0.0075,0.017,-0.016,0.043,0.005,0.0028,-0.017,-0.034,0.049,0.05,0.022,-0.00062,0.035
POVERTY,,,,,,,,,,,,1,0.29,0.29,0.23,-0.09,-0.12,-0.018,-0.031,0.16,0.15,-0.11,0.072,-0.0081,-0.13,0.098,-0.16,-0.17,-0.15,-0.059,0.15,0.1,-0.13,-0.1,0.064
UNEMPLOYED,,,,,,,,,,,,,1,0.17,-0.052,-0.051,-0.045,0.03,0.011,-0.025,0.076,-0.059,-0.031,-0.026,0.019,-0.064,-0.022,-0.013,-0.033,0.006,0.025,0.0037,-0.038,0.029,0.026
HIGHSCHOOL,,,,,,,,,,,,,,1,0.087,-0.038,-0.089,0.037,0.021,0.025,0.15,-0.1,-0.011,-0.0031,-0.056,0.059,-0.071,-0.09,-0.1,-0.044,0.12,0.061,-0.062,-0.027,0.036
RENT,,,,,,,,,,,,,,,1,-0.27,-0.18,-0.14,-0.097,0.64,-0.038,-0.011,0.18,-0.16,-0.18,0.15,-0.26,-0.24,-0.19,-0.058,0.16,0.035,-0.29,-0.18,0.068
ELPAY,,,,,,,,,,,,,,,,1,0.21,0.055,0.043,-0.31,0.017,0.034,-0.053,0.12,0.033,-0.012,0.097,0.067,0.12,0.023,-0.015,-0.0017,0.15,0.018,-0.028
NGPAY,,,,,,,,,,,,,,,,,1,-0.33,-0.21,-0.21,-0.12,-0.092,-0.0047,0.13,0.0062,0.0071,0.11,0.07,0.14,0.18,-0.045,-0.0076,0.072,-0.081,-0.012
LPGPAY,,,,,,,,,,,,,,,,,,1,0.11,-0.14,0.084,0.049,-0.11,-0.029,0.069,-0.033,0.11,0.079,-0.055,-0.062,-0.014,-0.017,0.061,0.17,-0.014
FOPAY,,,,,,,,,,,,,,,,,,,1,-0.097,0.0024,-0.12,-0.057,0.047,-0.0049,0.031,0.13,0.048,-0.17,0.026,-0.0084,-0.012,-0.011,0.12,-0.011
APARTMENT,,,,,,,,,,,,,,,,,,,,1,-0.11,-0.0017,0.19,-0.33,-0.1,0.054,-0.31,-0.16,-0.17,-0.056,0.071,-0.016,-0.34,-0.14,0.033
MOBILE,,,,,,,,,,,,,,,,,,,,,1,0.096,-0.063,8e-04,-0.069,0.064,0.015,-0.082,-0.058,-0.061,0.089,0.094,-0.038,-0.01,0.025
YEARMADERANGE,,,,,,,,,,,,,,,,,,,,,,1,-0.2,-0.21,0.29,-0.2,-0.15,0.16,0.24,0.0094,-0.061,-0.035,0.088,0.03,-0.0084
THERMALMASS.WALL,,,,,,,,,,,,,,,,,,,,,,,1,0.51,-0.71,0.28,-0.073,-0.2,-0.053,-0.051,0.078,0.048,-0.036,-0.1,0.025
THERMALMASS.ROOF,,,,,,,,,,,,,,,,,,,,,,,,1,-0.62,0.28,0.12,-0.069,0.016,0.039,0.027,0.054,0.13,-0.025,-0.0019
ADQINSUL,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.48,0.018,0.27,0.17,0.086,-0.15,-0.12,0.047,0.099,-0.058
DRAFTY,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.027,-0.19,-0.14,-0.012,0.19,0.13,-0.021,-0.086,0.077
WWR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.068,-0.021,0.013,-0.044,-0.01,0.15,0.1,-0.02
TYPEGLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.11,-0.13,-0.073,0.089,0.11,-0.042
COOLTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.21,-0.12,-0.05,0.17,0.0058,-0.045
EQUIPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.083,-0.055,0.017,-0.039,-0.034
HVAC_OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.27,-0.032,-0.066,0.19
HVAC_MAINTENANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.017,-0.044,0.18
NUMFANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099,-0.015
OFFGRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.015
TEMPMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
