DBT1,DBT99,WHITE,BLACK,ASIAN,MIXED,OTHER_RACE,SDESCENT,OVER65,LIVESALONE,LARGEHOUSE,POVERTY,UNEMPLOYED,HIGHSCHOOL,RENT,ELPAY,NGPAY,LPGPAY,FOPAY,APARTMENT,MOBILE,YEARMADERANGE,THERMALMASS.WALL,THERMALMASS.ROOF,ADQINSUL,DRAFTY,WWR,TYPEGLASS,COOLTYPE,EQUIPM,HVAC_OPERATION,HVAC_MAINTENANCE,NUMFANS,OFFGRID,TEMPMA
97.9,33,1,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,0,0,0,0,2009,0.024,0.008,2,0,1.4285714285714286,2,1,1,0,0,5,1,0
96.8,31.7,1,0,0,0,0,0,0,0,0,1,-0.5,1,0,1,0,0,0,0,0,1989,0.004,0.001,2,0,0.75,1,0.5,0.5,0,1,4,0,0
92.5,24.9,1,0,0,0,0,0,1,0,0,1,-1,1,0,1,1,0,0,0,0,1979,0.013,0.069,2,1,1.1111111111111112,1,1,1,0,0,7,0,0
91.3,15.9,0,0,0,0,1,0,1,1,0,0,-0,0,0,1,0,1,0,0,0,1959,0.004,0.069,2,0,2.2857142857142856,2,1,1,0,0,9,0,0
88.4,15.5,0,0,1,0,0,0,0,0,0,0,-1,1,0,1,1,0,0,0,0,1979,0.143,0.069,2,0,1,1,1,1,0,0,4,0,0
84.5,0.4,1,0,0,0,0,0,0,1,0,1,-0,1,1,0,0,0,0,1,0,1989,0,0,3,0,3,2,0.5,1,0,0,2,0,0
86.2,34.6,1,0,0,0,0,0,0,1,0,0,-1,0,1,1,1,0,0,1,0,1969,0.143,0.069,1,0,1.5,1,1,1,0,0,2,0,0
86.6,-1.6,1,0,0,0,0,0,1,0,0,0,-0,1,0,1,1,0,0,0,0,1979,0.004,0.069,2,1,1.2,2,0.5,1,1,0,6,0,0
88.4,15.5,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,1989,0.004,0.069,2,1,1.1111111111111112,2,1,1,0,0,2,0,0
97.2,32.7,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,1959,0.143,0.069,1,1,2.6666666666666665,1,1,1,0,0,4,0,0
87.9,9.6,1,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,1,0,0,1969,0.004,0.069,2,1,2,2,0.5,1,0,0,3,1,0
91.7,12.3,1,0,0,0,0,0,0,1,0,1,-1,0,1,1,1,0,0,0,0,1950,0.024,0.069,1,1,1.5,1,0,1,1,1,3,0,0
91.2,32.3,1,0,0,0,0,0,1,1,0,1,-0,1,1,1,1,0,0,0,0,2015,0.143,0.069,1,1,2,1,1,1,1,0,5,0,0
88.2,0.5,1,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,1,0,1979,0.143,0,2,0,1.5,2,0.5,1,0,0,1,0,0
91.1,8.8,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,2009,0,0,3,0,1.6,2,1,1,0,0,4,0,0
92.2,36.3,1,0,0,0,0,0,0,0,0,0,-0,0,1,1,0,0,0,1,0,2015,0.024,0,2,0,0.5,2,1,1,1,0,4,0,0
91.5,25.2,1,0,0,0,0,0,0,0,0,1,-0,0,0,1,0,1,0,0,1,1999,0,0,3,1,1,2,1,1,0,0,4,0,0
83.9,7.4,0,1,0,0,0,0,0,0,0,1,-0.5,0,0,1,1,0,0,1,0,1950,0.004,0.069,2,1,2,1,0,1,1,0,5,1,0
88,27.3,1,0,0,0,0,0,1,0,0,0,-0,0,0,1,1,0,0,0,0,1999,0.013,0.069,2,0,4,2,1,1,0,0,4,0,0
91.3,17.9,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,1979,0.004,0.069,1,2,2,1,0.5,1,0,0,5,0,0
82.3,39,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,1950,0.024,0.038,0,2,2.2857142857142856,1,0,1,0,0,6,0,0
91.3,17.9,0,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,0,0,1979,0.143,0.001,2,1,0.75,1,0.5,1,1,0,3,0,0
86.5,7.4,1,0,0,0,0,0,1,0,0,1,-0,0,0,1,1,0,0,0,0,1979,0.143,0.069,2,1,0.6666666666666666,1,1,1,0,0,4,0,0
92.8,19.3,1,0,0,0,0,0,1,1,0,1,-0,0,1,0,0,0,0,1,0,2009,0,0,3,0,0.6,2,1,1,0,0,0,0,0
86.5,6.9,0,0,1,0,0,0,0,0,0,0,-0,0,0,1,1,0,0,0,0,2009,0,0,3,0,2,1,1,1,0,0,1,0,0
86.5,17.7,1,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,1989,0.004,0.013,1,3,1.2,2,1,1,0,0,0,0,0
89.4,17.3,1,0,0,0,0,0,1,0,0,0,-0.5,0,0,1,1,0,0,0,0,1979,0.004,0.069,2,1,1.1111111111111112,2,1,1,0,0,3,0,0
92.6,21.2,1,0,0,0,0,0,1,0,0,0,-0,1,0,1,0,0,0,0,0,1979,0.004,0.069,2,1,2,2,0.5,1,0,0,4,1,0
91.9,33.4,1,0,0,0,0,0,1,0,0,1,-0,0,0,1,1,0,0,0,0,1969,0.41,0.069,2,0,1.1111111111111112,1,1,1,0,0,1,0,0
85.5,0.6,1,0,0,0,0,0,1,1,0,1,-1,0,0,1,1,0,0,0,0,1959,0,0,3,0,2.2857142857142856,1,1,1,0,0,4,0,0
106.8,35.3,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,2009,0.024,0.008,1,0,5,2,1,1,1,1,2,0,0
98.1,32.8,1,0,0,0,0,0,0,0,0,1,-0.5,0,0,1,1,0,0,0,0,1959,0.143,0,1,1,1.2,1,1,1,1,1,4,0,0
87.5,10,0,1,0,0,0,0,0,1,0,1,-0,0,1,1,1,0,0,1,0,1950,0.143,0,0,3,0.6,1,0,0.5,1,0,2,0,0
88.5,15.6,1,0,0,0,0,0,1,1,0,0,-0,0,0,0,0,0,0,1,0,1979,0,0,3,0,1.5,2,1,1,0,0,0,0,0
91.4,25.4,0,0,1,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,1979,0,0.013,2,1,0.5,1,1,1,0,0,6,0,0
90.8,18,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1950,0.143,0,2,1,1.6666666666666667,2,0.5,1,0,0,2,0,0
91.2,33.6,0,1,0,0,0,0,0,0,0,1,-0,0,0,1,0,0,0,0,0,1989,0,0,3,0,0.6666666666666666,3,0,1,0,0,5,0,0
93.4,23.1,1,0,0,0,0,0,1,0,0,1,-1,1,0,1,1,0,0,0,0,1979,0,0,3,0,2.2857142857142856,1,1,1,1,0,2,0,0
88.5,10.3,1,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,1,0,0,0,2009,0,0,3,1,1.25,3,0,0.5,0,0,5,1,0
91.8,25.1,1,0,0,0,0,0,0,0,0,1,-0,1,1,1,0,0,0,0,0,1979,0,0,3,0,1.6666666666666667,1,0.5,1,1,0,0,0,0
91.3,12.4,1,0,0,0,0,0,0,0,0,0,-0,0,0,1,1,0,0,0,0,1959,0.143,0.013,1,1,2.6666666666666665,1,1,1,0,0,1,0,0
91.7,12.3,1,0,0,0,0,0,0,1,0,1,-0.5,0,0,1,1,0,0,0,0,1950,0,0,3,1,2.6666666666666665,2,1,1,1,0,1,0,0
99.2,34,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1969,0.013,0.069,1,1,0.8571428571428571,2,1,1,0,0,1,0,0
86,8.4,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,1989,0,0,3,0,0.75,2,1,1,0,0,2,0,0
78.1,41.4,1,0,0,0,0,0,0,0,0,0,-0.5,0,0,1,1,0,0,0,0,1989,0,0,3,1,2.2857142857142856,2,0,1,0,0,2,1,0
86,8.4,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1,0,0,1989,0.004,0.069,2,1,1.6666666666666667,2,0.5,1,0,0,0,0,0
75.5,29.6,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,2015,0,0,3,0,1,2,0,1,0,0,1,0,0
91.8,25.1,0,1,0,0,0,0,0,0,0,1,-1,1,1,1,0,0,0,0,0,1979,0,0,3,0,1,1,1,1,0,0,5,0,0
94.5,36,1,0,0,0,0,1,0,0,0,0,-0,1,0,1,0,0,0,0,0,1969,0,0,3,0,0.5,1,1,1,1,0,4,0,0
93.1,31.8,1,0,0,0,0,0,0,0,0,1,-0,1,0,1,1,0,0,0,0,1969,0,0,3,0,1.4285714285714286,1,1,1,0,0,4,0,0
85.8,7.9,1,0,0,0,0,0,1,0,0,1,-0,1,0,1,0,0,0,0,0,1979,0,0,3,0,3.3333333333333335,2,0.5,1,0,0,0,1,0
82.3,4.1,1,0,0,0,0,0,0,0,0,1,-0,0,0,1,0,1,0,0,0,2015,0,0,3,0,2.2222222222222223,2,1,1,0,0,6,1,0
98.1,32.8,1,0,0,0,0,1,1,1,0,1,-0,1,0,1,1,0,0,0,0,1950,0,0,3,3,1.6666666666666667,1,0.5,0.5,0,0,3,0,0
88.3,9.5,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1950,0.004,0.069,2,0,1.2,2,1,1,1,1,4,1,0
84.3,0.7,1,0,0,0,0,0,1,1,0,0,-0,0,0,1,0,1,1,0,0,1989,0,0,3,1,3.2,2,0,1,1,0,0,0,0
84.2,-12.9,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,2015,0,0,3,0,1.6666666666666667,2,1,1,0,0,1,1,0
88.3,43.9,1,0,0,0,0,0,0,1,0,0,-1,0,0,1,1,0,0,0,0,1989,0,0.013,1,2,1.5,1,1,0.5,0,0,5,0,0
98.6,27.3,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1979,0.143,0.069,2,0,1.25,2,1,1,1,0,5,0,0
93.5,23.4,1,0,0,0,0,0,1,0,0,0,-0,1,0,1,1,0,0,0,0,1979,0,0,3,1,1.1111111111111112,2,1,1,0,0,1,0,0
92.6,21.2,1,0,0,0,0,0,1,1,0,0,-0,1,1,1,0,0,1,0,0,1950,0,0,3,0,1.4285714285714286,2,1,1,0,0,5,1,0
98.4,30.3,0,0,1,0,0,0,0,0,0,0,-0,0,0,1,1,0,0,0,0,1989,0.024,0.069,2,0,1.6666666666666667,2,1,1,1,0,6,0,0
90.8,49.9,0,1,0,0,0,0,0,1,0,1,-0,1,1,1,0,0,0,1,0,2009,0,0,3,1,1,1,1,1,1,0,0,0,0
