bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
39,Baseline,none,glm,2023-11-25T20:57:56Z,2023-11-25T20:58:10Z,NA,0,NA,0.5
39,Baseline,none,earth,2023-11-25T20:58:10Z,2023-11-25T20:59:20Z,NA,0,NA,0.5
39,Baseline,none,pda,2023-11-25T20:59:20Z,2023-11-25T21:00:14Z,NA,0,NA,0.5
39,Baseline,none,multinom,2023-11-25T21:00:14Z,2023-11-25T21:00:45Z,NA,0,NA,0.5
39,Baseline,none,treebag,2023-11-25T21:00:45Z,2023-11-25T21:01:04Z,0,0,NA,0.4983284580025073
39,Baseline,none,gbm,2023-11-25T21:01:05Z,2023-11-25T21:01:27Z,NA,0,NA,0.5
39,Baseline,none,ranger,2023-11-25T21:01:27Z,2023-11-25T21:03:16Z,NA,0,NA,0.5
39,Baseline,none,nnet,2023-11-25T21:03:16Z,2023-11-25T21:03:43Z,NA,0,NA,0.5
39,Baseline,weighted,glm,2023-11-25T21:03:44Z,2023-11-25T21:04:00Z,NA,0,NA,0.5
39,Baseline,weighted,earth,2023-11-25T21:04:00Z,2023-11-25T21:05:12Z,NA,0,NA,0.5
39,Baseline,weighted,pda,2023-11-25T21:05:12Z,2023-11-25T21:06:06Z,NA,0,NA,0.5
39,Baseline,weighted,multinom,2023-11-25T21:06:06Z,2023-11-25T21:06:31Z,NA,0,NA,0.5
39,Baseline,weighted,treebag,2023-11-25T21:06:31Z,2023-11-25T21:06:50Z,0,0,NA,0.4983284580025073
39,Baseline,weighted,gbm,2023-11-25T21:06:51Z,2023-11-25T21:07:12Z,NA,0,NA,0.5
39,Baseline,weighted,ranger,2023-11-25T21:07:12Z,2023-11-25T21:09:00Z,NA,0,NA,0.5
39,Baseline,weighted,nnet,2023-11-25T21:09:01Z,2023-11-25T21:09:26Z,NA,0,NA,0.5
39,Baseline,up,glm,2023-11-25T21:09:26Z,2023-11-25T21:09:41Z,0.02596439169139466,0.7,0.05007153075822604,0.7128290848307564
39,Baseline,up,earth,2023-11-25T21:09:41Z,2023-11-25T21:12:21Z,0.027586206896551724,0.72,0.05313653136531365,0.7274258253238612
39,Baseline,up,pda,2023-11-25T21:12:21Z,2023-11-25T21:13:16Z,0.026676829268292682,0.7,0.0513950073421439,0.7165900543251149
39,Baseline,up,multinom,2023-11-25T21:13:17Z,2023-11-25T21:13:48Z,0.02629601803155522,0.7,0.05068790731354091,0.7146050982030923
39,Baseline,up,treebag,2023-11-25T21:13:48Z,2023-11-25T21:14:10Z,0.025974025974025976,0.04,0.031496062992125984,0.512164646886753
39,Baseline,up,gbm,2023-11-25T21:14:11Z,2023-11-25T21:14:36Z,0.02599388379204893,0.68,0.050073637702503684,0.7069034684496448
39,Baseline,up,ranger,2023-11-25T21:14:36Z,2023-11-25T21:16:54Z,0.028901734104046242,0.7,0.05551149881046787,0.7271416631842875
39,Baseline,up,nnet,2023-11-25T21:16:54Z,2023-11-25T21:17:34Z,0.02362669816893089,0.8,0.045897877223178424,0.7273088173840367
39,Baseline,smote,glm,2023-11-25T21:17:34Z,2023-11-25T21:17:49Z,0.027190332326283987,0.72,0.05240174672489083,0.7254408692018387
39,Baseline,smote,earth,2023-11-25T21:17:49Z,2023-11-25T21:21:22Z,0.03232323232323232,0.64,0.06153846153846154,0.7199164229001254
39,Baseline,smote,pda,2023-11-25T21:21:22Z,2023-11-25T21:22:17Z,0.026646928201332347,0.72,0.051391862955032126,0.7226201420810698
39,Baseline,smote,multinom,2023-11-25T21:22:17Z,2023-11-25T21:22:48Z,0.027190332326283987,0.72,0.05240174672489083,0.7254408692018387
39,Baseline,smote,treebag,2023-11-25T21:22:48Z,2023-11-25T21:23:12Z,0.025157232704402517,0.08,0.038277511961722493,0.5238069368992896
39,Baseline,smote,gbm,2023-11-25T21:23:13Z,2023-11-25T21:23:39Z,0.0296,0.74,0.056923076923076923,0.7432762223150857
39,Baseline,smote,ranger,2023-11-25T21:23:39Z,2023-11-25T21:26:36Z,0.037283621837549935,0.56,0.06991260923845194,0.7044671959882992
39,Baseline,smote,nnet,2023-11-25T21:26:36Z,2023-11-25T21:27:18Z,0.026909722222222224,0.62,0.05158069883527455,0.6928875888006687
39,Baseline,rose,glm,2023-11-25T21:27:18Z,2023-11-25T21:27:33Z,0.004024144869215292,0.28,0.00793425899688297,0.27800668616798996
39,Baseline,rose,earth,2023-11-25T21:27:33Z,2023-11-25T21:28:56Z,0.04066543438077634,0.44,0.07445008460236886,0.665779356456331
39,Baseline,rose,pda,2023-11-25T21:28:56Z,2023-11-25T21:29:55Z,0.027210884353741496,0.72,0.05243991260014566,0.725545340576682
39,Baseline,rose,multinom,2023-11-25T21:29:55Z,2023-11-25T21:30:22Z,0.02680565897244974,0.72,0.05168700646087581,0.7234559130798162
39,Baseline,rose,treebag,2023-11-25T21:30:22Z,2023-11-25T21:30:45Z,0.0398406374501992,0.2,0.06644518272425248,0.5748223986627664
39,Baseline,rose,gbm,2023-11-25T21:30:47Z,2023-11-25T21:31:09Z,0.030632411067193676,0.62,0.058380414312617694,0.7075135812787297
39,Baseline,rose,ranger,2023-11-25T21:31:09Z,2023-11-25T21:34:51Z,0.04251012145748988,0.42,0.07720588235294117,0.6605850396991224
