bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
31,Baseline,none,glm,2023-11-26T21:27:56Z,2023-11-26T21:28:11Z,NA,0,NA,0.5
31,Baseline,none,earth,2023-11-26T21:28:11Z,2023-11-26T21:29:19Z,NA,0,NA,0.5
31,Baseline,none,pda,2023-11-26T21:29:19Z,2023-11-26T21:30:12Z,NA,0,NA,0.5
31,Baseline,none,multinom,2023-11-26T21:30:12Z,2023-11-26T21:30:35Z,NA,0,NA,0.5
31,Baseline,none,treebag,2023-11-26T21:30:36Z,2023-11-26T21:30:53Z,0.09523809523809523,0.04,0.056338028169014086,0.5180150438779775
31,Baseline,none,gbm,2023-11-26T21:30:54Z,2023-11-26T21:31:16Z,NA,0,NA,0.5
31,Baseline,none,ranger,2023-11-26T21:31:16Z,2023-11-26T21:33:03Z,NA,0,NA,0.5
31,Baseline,none,nnet,2023-11-26T21:33:04Z,2023-11-26T21:33:30Z,NA,0,NA,0.5
31,Baseline,weighted,glm,2023-11-26T21:33:30Z,2023-11-26T21:33:45Z,NA,0,NA,0.5
31,Baseline,weighted,earth,2023-11-26T21:33:45Z,2023-11-26T21:34:51Z,NA,0,NA,0.5
31,Baseline,weighted,pda,2023-11-26T21:34:51Z,2023-11-26T21:35:44Z,NA,0,NA,0.5
31,Baseline,weighted,multinom,2023-11-26T21:35:44Z,2023-11-26T21:36:08Z,NA,0,NA,0.5
31,Baseline,weighted,treebag,2023-11-26T21:36:08Z,2023-11-26T21:36:25Z,0.09523809523809523,0.04,0.056338028169014086,0.5180150438779775
31,Baseline,weighted,gbm,2023-11-26T21:36:26Z,2023-11-26T21:36:48Z,NA,0,NA,0.5
31,Baseline,weighted,ranger,2023-11-26T21:36:48Z,2023-11-26T21:38:35Z,NA,0,NA,0.5
31,Baseline,weighted,nnet,2023-11-26T21:38:35Z,2023-11-26T21:39:01Z,NA,0,NA,0.5
31,Baseline,up,glm,2023-11-26T21:39:01Z,2023-11-26T21:39:16Z,0.026627218934911243,0.72,0.05135520684736091,0.7225156707062265
31,Baseline,up,earth,2023-11-26T21:39:16Z,2023-11-26T21:41:57Z,0.0264750378214826,0.7,0.0510204081632653,0.715545340576682
31,Baseline,up,pda,2023-11-26T21:41:57Z,2023-11-26T21:42:52Z,0.0264750378214826,0.7,0.0510204081632653,0.715545340576682
31,Baseline,up,multinom,2023-11-26T21:42:52Z,2023-11-26T21:43:25Z,0.026022304832713755,0.7,0.05017921146953405,0.7131424989552863
31,Baseline,up,treebag,2023-11-26T21:43:25Z,2023-11-26T21:43:47Z,0.046511627906976744,0.08,0.05882352941176471,0.53143334726285
31,Baseline,up,gbm,2023-11-26T21:43:47Z,2023-11-26T21:44:11Z,0.02442635085122132,0.66,0.047109207708779445,0.6923067279565399
31,Baseline,up,ranger,2023-11-26T21:44:11Z,2023-11-26T21:46:29Z,0.02768729641693811,0.68,0.053208137715179966,0.7152611784371082
31,Baseline,up,nnet,2023-11-26T21:46:30Z,2023-11-26T21:47:08Z,0.03122043519394513,0.66,0.05962059620596206,0.723021312160468
31,Baseline,smote,glm,2023-11-26T21:47:08Z,2023-11-26T21:47:24Z,0.028273809523809524,0.76,0.054519368723099,0.7435603844546594
31,Baseline,smote,earth,2023-11-26T21:47:24Z,2023-11-26T21:53:11Z,0.035849056603773584,0.38,0.06551724137931034,0.6366151274550773
31,Baseline,smote,pda,2023-11-26T21:53:11Z,2023-11-26T21:54:06Z,0.028189910979228485,0.76,0.05436337625178826,0.7431424989552863
31,Baseline,smote,multinom,2023-11-26T21:54:06Z,2023-11-26T21:54:35Z,0.02823179791976226,0.76,0.054441260744985676,0.7433514417049729
31,Baseline,smote,treebag,2023-11-26T21:54:35Z,2023-11-26T21:54:59Z,0.027624309392265192,0.1,0.04329004329004328,0.5316130380275804
31,Baseline,smote,gbm,2023-11-26T21:55:00Z,2023-11-26T21:55:26Z,0.029118136439267885,0.7,0.05591054313099042,0.7280819055578771
31,Baseline,smote,ranger,2023-11-26T21:55:26Z,2023-11-26T21:58:22Z,0.033690658499234305,0.44,0.06258890469416786,0.6540785624738822
31,Baseline,smote,nnet,2023-11-26T21:58:23Z,2023-11-26T21:59:02Z,0.03152364273204904,0.72,0.06040268456375839,0.744454659423318
31,Baseline,rose,glm,2023-11-26T21:59:02Z,2023-11-26T21:59:17Z,0.00430786904078116,0.3,0.008493771234428085,0.2877977434183034
31,Baseline,rose,earth,2023-11-26T21:59:17Z,2023-11-26T22:00:40Z,0.03217821782178218,0.26,0.057268722466960346,0.5891516924362725
31,Baseline,rose,pda,2023-11-26T22:00:40Z,2023-11-26T22:01:38Z,0.025757575757575757,0.68,0.049635036496350364,0.7056498119515253
31,Baseline,rose,multinom,2023-11-26T22:01:39Z,2023-11-26T22:02:10Z,0.02637528259231349,0.7,0.050835148874364564,0.7150229837024655
31,Baseline,rose,treebag,2023-11-26T22:02:11Z,2023-11-26T22:02:33Z,0.027777777777777776,0.12,0.045112781954887216,0.5380610112829085
31,Baseline,rose,gbm,2023-11-26T22:02:35Z,2023-11-26T22:02:58Z,0.034340659340659344,0.5,0.06426735218508998,0.676556623485165
31,Baseline,rose,ranger,2023-11-26T22:02:58Z,2023-11-26T22:06:38Z,0.03359683794466403,0.34,0.06115107913669065,0.6189134977016297
31,Baseline,rose,nnet,2023-11-26T22:06:39Z,2023-11-26T22:07:16Z,0.028258887876025523,0.62,0.05405405405405405,0.6986335144170497
31,All,none,glm,2023-11-26T22:07:16Z,2023-11-26T22:07:32Z,NA,0,NA,0.5
31,All,none,earth,2023-11-26T22:07:33Z,2023-11-26T22:09:37Z,NA,0,NA,0.5
31,All,none,pda,2023-11-26T22:09:37Z,2023-11-26T22:10:37Z,0.07142857142857142,0.02,0.03125,0.5086418721270372
31,All,none,multinom,2023-11-26T22:10:37Z,2023-11-26T22:11:08Z,NA,0,NA,0.5
31,All,none,treebag,2023-11-26T22:11:08Z,2023-11-26T22:11:29Z,0,0,NA,0.49937317175094026
31,All,none,gbm,2023-11-26T22:11:30Z,2023-11-26T22:11:53Z,NA,0,NA,0.5
31,All,none,ranger,2023-11-26T22:11:54Z,2023-11-26T22:13:57Z,NA,0,NA,0.5
31,All,none,nnet,2023-11-26T22:13:58Z,2023-11-26T22:14:48Z,NA,0,NA,0.5
31,All,weighted,glm,2023-11-26T22:14:48Z,2023-11-26T22:15:04Z,NA,0,NA,0.5
31,All,weighted,earth,2023-11-26T22:15:04Z,2023-11-26T22:17:08Z,NA,0,NA,0.5
31,All,weighted,pda,2023-11-26T22:17:08Z,2023-11-26T22:18:07Z,0.07142857142857142,0.02,0.03125,0.5086418721270372
31,All,weighted,multinom,2023-11-26T22:18:08Z,2023-11-26T22:18:39Z,NA,0,NA,0.5
31,All,weighted,treebag,2023-11-26T22:18:39Z,2023-11-26T22:19:01Z,0,0,NA,0.49937317175094026
31,All,weighted,gbm,2023-11-26T22:19:01Z,2023-11-26T22:19:25Z,NA,0,NA,0.5
31,All,weighted,ranger,2023-11-26T22:19:25Z,2023-11-26T22:21:29Z,NA,0,NA,0.5
31,All,weighted,nnet,2023-11-26T22:21:29Z,2023-11-26T22:22:19Z,NA,0,NA,0.5
31,All,up,glm,2023-11-26T22:22:19Z,2023-11-26T22:22:35Z,0.05402160864345738,0.9,0.10192525481313704,0.8676765566234852
31,All,up,earth,2023-11-26T22:22:35Z,2023-11-26T22:27:09Z,0.05603985056039851,0.9,0.10550996483001172,0.870810697868784
31,All,up,pda,2023-11-26T22:27:09Z,2023-11-26T22:28:52Z,0.053763440860215055,0.9,0.10146561443066517,0.8672586711241119
31,All,up,multinom,2023-11-26T22:28:52Z,2023-11-26T22:29:38Z,0.05421686746987952,0.9,0.10227272727272727,0.867989970748015
31,All,up,treebag,2023-11-26T22:29:38Z,2023-11-26T22:30:09Z,0.125,0.04,0.06060606060606061,0.5185374007521939
31,All,up,gbm,2023-11-26T22:30:10Z,2023-11-26T22:30:44Z,0.054373522458628844,0.92,0.10267857142857144,0.8764229001253656
31,All,up,ranger,2023-11-26T22:30:44Z,2023-11-26T22:34:01Z,0,0,NA,0.4997910572503134
31,All,up,nnet,2023-11-26T22:34:02Z,2023-11-26T22:35:47Z,0.059782608695652176,0.22,0.09401709401709402,0.5919264521521104
31,All,smote,glm,2023-11-26T22:35:47Z,2023-11-26T22:36:03Z,0.05605095541401274,0.88,0.10538922155688624,0.8625867112411199
31,All,smote,earth,2023-11-26T22:36:03Z,2023-11-26T22:41:09Z,0.07909604519774012,0.28,0.12334801762114538,0.6229711659005432
31,All,smote,pda,2023-11-26T22:41:09Z,2023-11-26T22:42:51Z,0.05402160864345738,0.9,0.10192525481313704,0.8676765566234852
31,All,smote,multinom,2023-11-26T22:42:51Z,2023-11-26T22:43:39Z,0.05562579013906448,0.88,0.10463733650416172,0.8619598829920602
31,All,smote,treebag,2023-11-26T22:43:39Z,2023-11-26T22:44:11Z,0.2222222222222222,0.16,0.18604651162790697,0.5770748015043878
31,All,smote,gbm,2023-11-26T22:44:12Z,2023-11-26T22:44:47Z,0.0567741935483871,0.88,0.10666666666666667,0.8636314249895529
31,All,smote,ranger,2023-11-26T22:44:47Z,2023-11-26T22:48:58Z,0,0,NA,0.49937317175094026
31,All,smote,nnet,2023-11-26T22:48:59Z,2023-11-26T22:50:26Z,0.04878048780487805,0.88,0.09243697478991597,0.8503635603844546
31,All,rose,glm,2023-11-26T22:50:26Z,2023-11-26T22:50:42Z,0.00125344697919278,0.1,0.0024758603614756128,0.13378604262432092
31,All,rose,earth,2023-11-26T22:50:42Z,2023-11-26T22:53:03Z,0.07184466019417475,0.74,0.1309734513274336,0.820062682824906
31,All,rose,pda,2023-11-26T22:53:03Z,2023-11-26T22:54:07Z,0.054827175208581644,0.92,0.10348706411698538,0.8771541997492687
31,All,rose,multinom,2023-11-26T22:54:07Z,2023-11-26T22:54:43Z,0.05325443786982249,0.9,0.10055865921787709,0.8664229001253656
31,All,rose,treebag,2023-11-26T22:54:43Z,2023-11-26T22:55:14Z,0.06605922551252848,0.58,0.11860940695296524,0.7471667363142499
31,All,rose,gbm,2023-11-26T22:55:15Z,2023-11-26T22:55:42Z,0.05402160864345738,0.9,0.10192525481313704,0.8676765566234852
31,All,rose,ranger,2023-11-26T22:55:42Z,2023-11-26T23:00:50Z,0.0720164609053498,0.7,0.13059701492537315,0.8028834099456749
31,All,rose,nnet,2023-11-26T23:00:51Z,2023-11-26T23:02:10Z,0.06060606060606061,0.56,0.10937500000000001,0.7346594233180108
79,Baseline,none,glm,2023-11-26T23:02:10Z,2023-11-26T23:02:26Z,NA,0,NA,0.5
79,Baseline,none,earth,2023-11-26T23:02:26Z,2023-11-26T23:03:31Z,NA,0,NA,0.5
79,Baseline,none,pda,2023-11-26T23:03:31Z,2023-11-26T23:04:26Z,NA,0,NA,0.5
79,Baseline,none,multinom,2023-11-26T23:04:26Z,2023-11-26T23:04:50Z,0.04,0.08,0.05333333333333334,0.5299707480150438
79,Baseline,none,treebag,2023-11-26T23:04:50Z,2023-11-26T23:05:09Z,0,0,NA,0.4983284580025073
79,Baseline,none,gbm,2023-11-26T23:05:09Z,2023-11-26T23:05:32Z,NA,0,NA,0.5
79,Baseline,none,ranger,2023-11-26T23:05:33Z,2023-11-26T23:07:20Z,NA,0,NA,0.5
79,Baseline,none,nnet,2023-11-26T23:07:21Z,2023-11-26T23:07:48Z,NA,0,NA,0.5
79,Baseline,weighted,glm,2023-11-26T23:07:48Z,2023-11-26T23:08:03Z,NA,0,NA,0.5
79,Baseline,weighted,earth,2023-11-26T23:08:03Z,2023-11-26T23:09:09Z,NA,0,NA,0.5
79,Baseline,weighted,pda,2023-11-26T23:09:09Z,2023-11-26T23:10:03Z,NA,0,NA,0.5
79,Baseline,weighted,multinom,2023-11-26T23:10:03Z,2023-11-26T23:10:27Z,0.04,0.08,0.05333333333333334,0.5299707480150438
79,Baseline,weighted,treebag,2023-11-26T23:10:27Z,2023-11-26T23:10:45Z,0,0,NA,0.4983284580025073
79,Baseline,weighted,gbm,2023-11-26T23:10:46Z,2023-11-26T23:11:09Z,NA,0,NA,0.5
79,Baseline,weighted,ranger,2023-11-26T23:11:10Z,2023-11-26T23:12:57Z,NA,0,NA,0.5
79,Baseline,weighted,nnet,2023-11-26T23:12:58Z,2023-11-26T23:13:24Z,NA,0,NA,0.5
79,Baseline,up,glm,2023-11-26T23:13:24Z,2023-11-26T23:13:40Z,0.02733485193621868,0.72,0.0526700804681785,0.7261721688257418
79,Baseline,up,earth,2023-11-26T23:13:40Z,2023-11-26T23:16:16Z,0.026273885350318472,0.66,0.05053598774885146,0.7022315085666527
79,Baseline,up,pda,2023-11-26T23:16:17Z,2023-11-26T23:17:12Z,0.02750190985485103,0.72,0.052980132450331126,0.7270079398244881
79,Baseline,up,multinom,2023-11-26T23:17:13Z,2023-11-26T23:17:46Z,0.02745995423340961,0.72,0.05290227773695811,0.7267989970748014
79,Baseline,up,treebag,2023-11-26T23:17:46Z,2023-11-26T23:18:09Z,0.024096385542168676,0.04,0.030075187969924814,0.5115378186376932
79,Baseline,up,gbm,2023-11-26T23:18:09Z,2023-11-26T23:18:35Z,0.027419354838709678,0.68,0.05271317829457364,0.7140075219389888
79,Baseline,up,ranger,2023-11-26T23:18:36Z,2023-11-26T23:20:55Z,0.028896672504378284,0.66,0.05536912751677851,0.7141412452987881
79,Baseline,up,nnet,2023-11-26T23:20:55Z,2023-11-26T23:21:35Z,0.0306030603060306,0.68,0.05857019810508182,0.7274843292937736
79,Baseline,smote,glm,2023-11-26T23:21:35Z,2023-11-26T23:21:51Z,0.0264797507788162,0.68,0.050974512743628186,0.7094107814458839
79,Baseline,smote,earth,2023-11-26T23:21:51Z,2023-11-26T23:27:35Z,0.034610630407911,0.56,0.06519208381839348,0.6984078562473882
79,Baseline,smote,pda,2023-11-26T23:27:35Z,2023-11-26T23:28:31Z,0.02631578947368421,0.68,0.05067064083457526,0.7085750104471376
79,Baseline,smote,multinom,2023-11-26T23:28:31Z,2023-11-26T23:29:00Z,0.02627511591962906,0.68,0.050595238095238096,0.7083660676974509
