CDD30YR,CDD65,HDD30YR,HDD65,DBT1,DBT99,HOUSEHOLDER_RACE,SDESCENT,NONWHITE,HHAGE,OVER65,NHSLDMEM,LIVESALONE,LARGEHOUSE,EDUCATION,HIGHSCHOOL,EMPLOYHH,MONEYPY,POVERTY,KOWNRENT,ELPAY,NGPAY,UATYP10,ECOREGION,TYPEHUQ,APARTMENT,YEARMADERANGE,TOTROOMS,SWIMPOOL,WALLTYPE,ROOFTYPE,THERMALMASS,ADQINSUL,DRAFTY,WINDOWS,WINFRAME,TYPEGLASS,AIRCOND,HEATHOME,COOLTYPE,EQUIPM,ACEQUIPAGE,EQUIPAGE,NOAC,NOHEAT,NUMCFAN,NUMFLOORFAN,BACKUP,SOLAR,YEAR,TEMPMA
871,993,5397,5401,88.4,15.5,Asian,0,1,51,0,3,0,0,2,1,1,40000,0,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1979,6,0,Brick,Singles,1,2,0,6,Vinyl,1,1,1,Central.Air,Central.Furnace,5,5,0,0,2,2,0,0,2015,0
396,408,7224,7597,84.5,0.4,White,0,0,33,0,1,1,0,1,1,0,0,1,Rent,0,0,0.5,Northern.Forests,Apt.High,1,1989,1,0,Siding,No.Roof,0,3,0,3,Wood,2,1,1,Window.Wall,Central.Furnace,0,5,0,0,0,2,0,0,2015,0
820,1083,5583,5301,88.4,15.5,White,0,0,56,0,4,0,0,3,0,1,80000,0,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1989,9,0,Siding,Singles,0,2,1,10,Vinyl,2,1,1,Central.Air,Central.Furnace,5,20,0,0,2,0,0,0,2015,0
1143,1706,4740,4007,91.7,12.3,White,0,0,24,0,1,1,0,3,0,1,0,1,Rent,1,1,1,Great.Plains,SF.Detached,0,1950,4,0,Stucco,Singles,0,1,1,6,Wood,1,0,1,None,Central.Furnace,-2,15,0,1,2,1,0,0,2015,0
1687,2019,2927,2446,91.5,25.2,White,0,0,58,0,2,0,0,3,0,0,20000,1,Own,1,0,1,Eastern.Temperate.Forests,Mobile,0,1999,6,0,Siding,Singles,0,3,1,6,Metal,2,1,1,Central.Air,Central.Furnace,5,5,0,0,4,0,0,0,2015,0
2238,1871,2785,2826,93.4,23.1,White,0,0,70,1,2,0,0,2,1,1,20000,1,Own,1,1,0,Eastern.Temperate.Forests,SF.Detached,0,1979,7,0,Brick,Singles,1,3,0,16,Metal,1,1,1,Central.Air,Central.Furnace,15,15,0,0,2,0,0,0,2015,0
427,682,6232,5400,88.5,10.3,White,0,0,63,0,1,1,0,5,0,1,40000,0,Own,1,0,0,North.American.Deserts,SF.Detached,0,2009,8,0,Siding,Metal,0,3,1,10,Wood,3,0,1,None,Wood.Stove,-2,15,0,0,4,1,0,1,2015,0
1665,1998,3244,2511,91.8,25.1,White,0,0,55,0,3,1,0,1,1,0,0,1,Rent,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1979,6,0,Siding,Singles,0,3,0,10,Wood,1,1,1,Window.Wall,Central.Furnace,0,0,0,0,0,0,0,0,2015,0
97,315,2770,1958,78.1,41.4,White,0,0,62,0,2,0,0,4,0,0.5,140000,0,Own,1,1,1,Mediterranean.California,SF.Detached,0,1989,7,0,Wood,Singles,0,3,1,16,Fiberglass,2,0,1,None,Central.Furnace,-2,15,0,0,2,0,1,0,2015,0
443,900,6666,6199,86,8.4,White,0,0,30,0,3,0,0,4,0,1,80000,0,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1989,6,0,Siding,Singles,0,2,1,10,Wood,2,1,1,Window.Wall,Steam.HW,5,20,0,0,0,0,0,0,2015,0
1611,2144,3351,2464,91.8,25.1,Black,0,1,30,0,6,1,0,2,1,1,0,1,Rent,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1979,6,0,Brick,Metal,1,3,0,6,Wood,1,1,1,Central.Air,Central.Furnace,5,5,0,0,2,3,0,0,2015,0
955,1211,5360,4904,88.3,9.5,White,0,0,49,0,2,1,0,3,0,1,80000,0,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1950,5,0,Siding,Singles,0,2,0,6,Wood,2,1,1,Central.Air,Central.Furnace,15,20,1,0,3,1,1,0,2015,0
1493,1522,2576,2093,97.9,33,White,1,1,20,0,2,0,0,3,0,0.5,40000,0,Rent,1,1,1,Northwestern.Forested.Mountains,Apt.Low,1,1989,3,0,Wood,Wood.Shingle,0,3,0,3,Wood,2,1,1,Central.Air,Central.Furnace,2,20,0,0,0,1,0,0,2015,0
357,427,7542,7652,82.2,-0.2,White,0,0,71,1,4,0,0,1,1,0.5,20000,1,Own,1,0,0,Northern.Forests,SF.Detached,0,1989,6,0,Siding,Wood.Shingle,0,1,2,10,Wood,1,1,1,Window.Wall,Central.Furnace,15,5,0,1,3,1,0,0,2015,1
2641,2830,2060,1941,97.4,29.5,White,0,0,31,0,3,0,0,3,0,1,100000,0,Own,1,0,0.5,Eastern.Temperate.Forests,SF.Detached,0,2009,5,0,Brick,Singles,1,3,0,10,Metal,2,1,1,Central.Air,Central.Furnace,10,15,0,0,4,0,0,0,2015,0
351,484,2433,1979,82.3,39,Asian,0,1,32,0,2,0,0,5,0,1,100000,0,Own,1,1,1,Mediterranean.California,SF.Detached,0,1969,6,0,Stucco,Wood.Shingle,0,2,1,6,Vinyl,2,0,1,None,Central.Furnace,-2,5,0,0,1,1,0,0,2015,0
946,1230,5370,4884,88.3,9.5,White,0,0,85,1,1,1,0,4,0,0,20000,1,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1999,5,0,Siding,Singles,0,2,0,10,Vinyl,1,1,1,Central.Air,Central.Furnace,15,15,0,0,3,0,0,0,2015,0
1096,1141,5811,5400,95.1,14.2,White,1,1,43,0,3,0,0,1,1,1,20000,1,Own,1,1,1,North.American.Deserts,Mobile,0,1979,3,0,Siding,Metal,0,1,0,10,Wood,2,0,1,Swamp,Central.Furnace,-2,0,1,1,0,3,0,0,2015,1
1492,2533,1576,1030,97.4,39.7,Asian,0,1,31,0,5,0,0,4,0,0,100000,0,Own,1,1,1,Northwestern.Forested.Mountains,SF.Detached,0,2009,11,1,Brick,Singles,1,3,0,30,Metal,2,1,1,Central.Air,Central.Furnace,15,15,0,0,0,2,1,1,2015,0
1825,2062,2797,2322,92.5,24.9,Mixed.Race,0,1,72,1,2,0,0,3,0,0,20000,1,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1969,9,0,Siding,Metal,0,2,0,10,Fiberglass,2,1,1,Central.Air,Central.Furnace,20,20,0,0,5,0,0,0,2015,0
1273,1489,4750,4777,91.1,16.6,White,0,0,35,0,2,0,0,3,0,1,80000,0,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1959,4,0,Siding,Singles,0,2,0,6,Fiberglass,2,1,1,Central.Air,Central.Furnace,2,2,0,0,1,1,1,0,2015,0
3102,3471,1503,1364,98.1,32.8,Native.Hawaiian,0,1,40,0,2,0,0,3,0,0.5,20000,1,Own,1,1,1,Great.Plains,SF.Detached,0,1959,5,0,Shingle,Singles,0,1,1,10,Metal,2,0,1,None,Portable.Electric,-2,0,0,0,0,2,0,0,2015,0
295,437,2528,2020,82.3,39,White,1,1,36,0,3,0,0,5,0,0,80000,0,Rent,1,1,1,Mediterranean.California,SF.Detached,0,1959,3,0,Wood,Singles,0,2,0,6,Wood,2,0,1,None,Central.Furnace,-2,15,0,1,0,0,0,0,2015,0
3633,4287,466,389,91.1,43,White,1,1,64,0,2,0,0,4,0,0,60000,0,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1979,8,1,Stucco,Singles,0,2,0,6,Metal,1,1,1,Central.Air,Central.Furnace,2,2,0,0,4,0,0,0,2015,0
1256,1005,668,1054,80.7,46,White,0,0,72,1,2,0,0,4,0,0,120000,0,Own,1,1,1,Northwestern.Forested.Mountains,SF.Detached,0,1950,6,0,Stucco,Ceramic.Tiles,1,2,0,10,Wood,1,0,1,None,Central.Furnace,-2,2,0,0,0,2,0,0,2015,0
549,678,7423,6539,84.2,0.2,White,0,0,36,0,4,1,0,3,0,1,60000,0,Rent,1,1,0.5,Northern.Forests,SF.Attached,0,1999,5,0,Siding,Singles,0,2,0,6,Vinyl,2,1,1,Central.Air,Central.Furnace,10,10,0,0,0,2,0,0,2015,0
