bootstrap,input_features,variable,coef
31,Baseline,(Intercept),-1.1235252562967888
31,Baseline,DBT1,0.515541906169488
31,Baseline,DBT99,0.8126274064804736
31,Baseline,WHITE,-0.7506271041510214
31,Baseline,BLACK,0.29102338801580047
31,Baseline,SDESCENT,0.885398546383092
31,Baseline,OVER65,-0.3674355429767256
31,Baseline,LIVESALONE,-0.2272092463010143
31,Baseline,HIGHSCHOOL,0.15859260349652662
31,Baseline,EMPLOYHH,-0.3700431292338717
31,Baseline,POVERTY,0.9038862894333131
31,Baseline,RENT,0.8164542073636842
31,All,(Intercept),-2.1153643393487567
31,All,DBT1,0.5497756776677906
31,All,DBT99,0.287191346367983
31,All,WHITE,-0.4947170180205134
31,All,BLACK,0.21776088954282743
31,All,SDESCENT,0.7523877350030117
31,All,OVER65,-0.1284830126626514
31,All,LIVESALONE,-0.144795066399396
31,All,POVERTY,0.5797065214080678
31,All,EMPLOYHH,-0.21385484805291713
31,All,HIGHSCHOOL,0.07990401420645649
31,All,RENT,0.5375316103043103
31,All,APARTMENT,0.11204079612249093
31,All,MOBILE,0.09272138641618823
31,All,YEARMADERANGE,0.1806181529949113
31,All,THERMALMASS.ROOF,0.3753507086734459
31,All,ADQINSUL,-0.24715799883861855
31,All,DRAFTY,1.1012907665381162
31,All,WWR,1.0071000425689278
31,All,TYPEGLASS,-0.14036092464266334
31,All,COOLTYPE,-0.32322180336995837
31,All,HVAC_OPERATION,2.017420617529446
31,All,HVAC_MAINTENANCE,1.2787234106804521
31,All,NUMFANS,0.1652795020136182
31,All,OFFGRID,0.004790361132596751
79,Baseline,(Intercept),-0.9974293004431629
79,Baseline,DBT1,-0.06532656277541515
79,Baseline,DBT99,1.0776881435141008
79,Baseline,WHITE,-0.6001346700477854
79,Baseline,BLACK,0.28621408026333334
79,Baseline,SDESCENT,0.8906971400097123
79,Baseline,OVER65,-0.3622447417756067
79,Baseline,LIVESALONE,-0.42394290841490856
79,Baseline,HIGHSCHOOL,0.21243780418097144
79,Baseline,EMPLOYHH,-0.4473604516475482
79,Baseline,POVERTY,1.0655874023968261
79,Baseline,RENT,0.623285607619208
79,All,(Intercept),-1.4764854368612637
79,All,DBT1,0.07112584087347441
79,All,DBT99,0.295402126788555
79,All,WHITE,-0.3521178283997831
79,All,BLACK,0.2308501565357494
79,All,SDESCENT,0.7567316285147235
79,All,OVER65,-0.13816929900467959
79,All,LIVESALONE,-0.21912949853156366
79,All,POVERTY,0.6282568085864728
79,All,EMPLOYHH,-0.29262965036153127
79,All,HIGHSCHOOL,0.11198681711692779
79,All,RENT,0.3456787398562916
79,All,APARTMENT,-0.02251210119223988
79,All,MOBILE,0.07455096899626629
79,All,YEARMADERANGE,-0.052486692220424416
79,All,THERMALMASS.ROOF,0.4431899776531985
79,All,ADQINSUL,-0.3408508053521463
79,All,DRAFTY,1.0033637946753557
79,All,WWR,-4.047908792306261
79,All,TYPEGLASS,-0.3526713993181485
79,All,COOLTYPE,-0.39446187065775695
79,All,HVAC_OPERATION,2.1998399284163024
79,All,HVAC_MAINTENANCE,1.2597543144271992
79,All,NUMFANS,0.43637849912385007
79,All,OFFGRID,0.18868574543350905
51,Baseline,(Intercept),-1.1194328793318058
51,Baseline,DBT1,0.4579203437043905
51,Baseline,DBT99,0.7391728898848688
51,Baseline,WHITE,-0.6554141118770203
51,Baseline,BLACK,0.15413381209523183
51,Baseline,SDESCENT,0.877922915076111
51,Baseline,OVER65,-0.36142469639683555
51,Baseline,LIVESALONE,-0.31202467328335276
51,Baseline,HIGHSCHOOL,0.2037640010975287
51,Baseline,EMPLOYHH,-0.5594678232670691
51,Baseline,POVERTY,1.03411582865728
51,Baseline,RENT,0.8259202145973238
51,All,(Intercept),-1.7827877257916134
51,All,DBT1,0.15922711314797566
51,All,DBT99,0.05976800622518843
51,All,WHITE,-0.5487679108286249
51,All,BLACK,0.16360799172930526
51,All,SDESCENT,0.6535898930911725
51,All,OVER65,-0.2179109600264097
51,All,LIVESALONE,-0.2082876468944173
51,All,POVERTY,0.6720739478626538
51,All,EMPLOYHH,-0.43878857026799445
51,All,HIGHSCHOOL,0.058939887884250385
51,All,RENT,0.5438777106884993
51,All,APARTMENT,0.12670998842423964
51,All,MOBILE,0.386977604829737
51,All,YEARMADERANGE,0.16835460977299482
51,All,THERMALMASS.ROOF,0.4721435421697325
51,All,ADQINSUL,-0.105804713556781
51,All,DRAFTY,0.9499918250914366
51,All,WWR,0.9930082168704082
51,All,TYPEGLASS,-0.05777274181480834
51,All,COOLTYPE,-0.3046361869929733
51,All,HVAC_OPERATION,2.041199848569197
51,All,HVAC_MAINTENANCE,1.3136301130120116
51,All,NUMFANS,0.32834315244880713
51,All,OFFGRID,-0.018237824807348087
14,Baseline,(Intercept),-0.6309152716332069
14,Baseline,DBT1,-0.41952501423071425
14,Baseline,DBT99,0.7794393180683058
14,Baseline,WHITE,-0.7007183860387542
14,Baseline,BLACK,0.190874038781773
14,Baseline,SDESCENT,0.8398432600813844
14,Baseline,OVER65,-0.30923948086356523
14,Baseline,LIVESALONE,-0.27116501655478403
14,Baseline,HIGHSCHOOL,0.18063159769116013
14,Baseline,EMPLOYHH,-0.3039387206965665
14,Baseline,POVERTY,1.1039054509470667
14,Baseline,RENT,0.663697879118633
14,All,(Intercept),-1.6001045385134902
14,All,DBT1,-0.27820763953370864
14,All,DBT99,0.22764710320057072
14,All,WHITE,-0.482128437339489
14,All,BLACK,0.09319658482906987
14,All,SDESCENT,0.5964795546504741
14,All,OVER65,-0.133143169347785
14,All,LIVESALONE,-0.07734192742933416
14,All,POVERTY,0.6574535297400603
14,All,EMPLOYHH,-0.2432547545539464
14,All,HIGHSCHOOL,0.1249279433632531
14,All,RENT,0.32377114015941205
14,All,APARTMENT,0.2662141516015248
14,All,MOBILE,0.22935048124507368
14,All,YEARMADERANGE,0.21597057932471503
14,All,THERMALMASS.ROOF,0.46154232129213607
14,All,ADQINSUL,-0.27363217825668906
14,All,DRAFTY,1.0029324641180797
14,All,WWR,0.21773739670770592
14,All,TYPEGLASS,-0.18858883165649876
14,All,COOLTYPE,-0.2380041528363782
14,All,HVAC_OPERATION,2.069212718452805
14,All,HVAC_MAINTENANCE,1.3236567575568894
14,All,NUMFANS,0.3748384498166153
14,All,OFFGRID,-0.09108966338563569
67,Baseline,(Intercept),-1.328450575202997
67,Baseline,DBT1,0.3402148362895769
67,Baseline,DBT99,1.1857721790874618
67,Baseline,WHITE,-0.6372688171793819
67,Baseline,BLACK,0.33387576892855464
67,Baseline,SDESCENT,0.8962506787861472
67,Baseline,OVER65,-0.37528089975280476
67,Baseline,LIVESALONE,-0.300969016372218
67,Baseline,HIGHSCHOOL,0.2960785766457948
67,Baseline,EMPLOYHH,-0.578772657319695
67,Baseline,POVERTY,1.0458452080509069
67,Baseline,RENT,0.7310244740901715
67,All,(Intercept),-1.7636840497253465
67,All,DBT1,0.15379802275301663
67,All,DBT99,0.4736206506078113
67,All,WHITE,-0.43835541050114796
67,All,BLACK,0.20071271542381053
67,All,SDESCENT,0.7405189319786514
67,All,OVER65,-0.1606032130456808
67,All,LIVESALONE,-0.14069274578895985
67,All,POVERTY,0.5780022211954963
67,All,EMPLOYHH,-0.34191600139748474
67,All,HIGHSCHOOL,0.23996083406711513
67,All,RENT,0.3722939637047657
67,All,APARTMENT,0.20787395103071654
